Player,Predicted_3P,TEAM
A.J. Lawson,1.5172907997504737,TOR
AJ Green,2.0927029572306095,MIL
AJ Johnson,0.5822168741802785,WAS
Aaron Gordon,1.537849391167597,DEN
Aaron Holiday,1.077384518032197,HOU
Aaron Nesmith,1.7395127179041843,IND
Aaron Wiggins,1.677229369492075,OKC
Adam Flagler,0.34652075444415464,OKC
Adama Sanogo,-0.0009483267273422527,CHI
Adem Bona,-0.00024975203279386257,PHI
Ajay Mitchell,0.6589706177586698,OKC
Al Horford,1.7984209673220715,BOS
Alec Burks,1.4840177158547114,MIA
Alex Caruso,1.0948171803853122,OKC
Alex Ducas,0.454751903668184,OKC
Alex Len,0.050263939275526276,LAL
Alex Reese,0.9935033057197511,PHI
Alex Sarr,1.6708256155613073,WAS
Alondes Williams,0.9944375332789723,DET
Alperen Sengun,0.31587923438237014,HOU
Amen Thompson,0.33211403811250667,HOU
Amir Coffey,1.4846825700512951,LAC
Andre Drummond,0.09021406999735886,PHI
Andre Jackson Jr.,0.46085240201635363,MIL
Andrew Nembhard,0.8514116992045181,IND
Andrew Wiggins,2.14746241824071,MIA
Anfernee Simons,3.1879703786153666,POR
Anthony Black,0.707448680747962,ORL
Anthony Davis,0.6840016462554532,DAL
Anthony Edwards,4.031295930605534,MIN
Anthony Gill,0.17622480007484936,WAS
Anton Watson,-0.0008804354318105565,NYK
Antonio Reeves,0.780017988821082,NOP
Ariel Hukporti,-0.00017814698740317432,NYK
Armel Traoré,-0.004036779655361931,LAL
Ausar Thompson,0.20281365489874104,DET
Austin Reaves,2.6150904527422023,LAL
Ayo Dosunmu,1.3207883697379654,CHI
Bam Adebayo,0.8531958407438468,MIA
Baylor Scheierman,0.584848263652996,BOS
Ben Sheppard,1.1294722156983446,IND
Ben Simmons,-0.0003935819113990853,LAC
Bennedict Mathurin,1.4567112618920397,IND
Bilal Coulibaly,1.0955390797616467,WAS
Bismack Biyombo,0.0004771724442271211,SAS
Blake Wesley,0.2508684541882551,SAS
Bobby Portis,1.3149697032175962,MIL
Bobi Klintman,-0.0016037970428471253,DET
Bogdan Bogdanović,1.9546632485578836,LAC
Bol Bol,0.9319868071609646,PHX
Bones Hyland,1.4494661199210046,MIN
Bradley Beal,1.9238929638001765,PHX
Branden Carlson,0.8351385331842249,OKC
Brandin Podziemski,1.4345404339691632,GSW
Brandon Boston,1.150023397534723,NOP
Brandon Clarke,0.010501245811592664,MEM
Brandon Ingram,2.4018766953105892,TOR
Brandon Miller,4.209705538601908,CHA
Brandon Williams,0.7174212882966665,DAL
Brice Sensabaugh,1.924591887377728,UTA
Bronny James,0.3195747785252155,LAL
Brook Lopez,1.750431828370766,MIL
Bruce Brown,0.6430737466647402,NOP
Bruno Fernando,0.0004771724442271211,TOR
Bryce McGowens,0.00948395521741833,POR
Bub Carrington,1.54155323243546,WAS
Buddy Hield,2.4968552144005933,GSW
CJ McCollum,3.0144058373167884,NOP
Cade Cunningham,2.113595481979278,DET
Caleb Houstan,0.859188065405441,ORL
Caleb Martin,0.9495172160327111,DAL
Cam Christie,0.28194565278956163,LAC
Cam Reddish,0.38911165624388866,LAL
Cam Spencer,0.7649830704484719,MEM
Cam Thomas,2.678543436862883,BKN
Cam Whitmore,1.231177037118267,HOU
Cameron Johnson,2.8567831130555525,BKN
Cameron Payne,1.2879207930396155,NYK
Caris LeVert,1.6935205102675381,ATL
Cason Wallace,1.0891335859308695,OKC
Charles Bassey,0.00011394851780175234,SAS
Chet Holmgren,1.337044244444544,OKC
Chris Boucher,1.4201551552950007,TOR
Chris Duarte,0.3595617035137175,CHI
Chris Livingston,0.013376752849414891,MIL
Chris Paul,1.787283158359978,SAS
Christian Braun,1.086154565947246,DEN
Christian Koloko,0.0002452625496608995,LAL
Chuma Okeke,1.1327150353970181,PHI
Clint Capela,-0.00019897188829178422,ATL
Coby White,2.964394104389576,CHI
Cody Martin,0.9851510260822293,PHX
Cody Williams,0.7269223243905929,UTA
Colby Jones,0.27511112149961986,WAS
Cole Anthony,1.1075473755162017,ORL
Cole Swider,0.03278220258942342,DET
Colin Castleton,0.05997918424567424,TOR
Collin Gillespie,0.5128046281180222,PHX
Collin Sexton,1.7775556321568153,UTA
Corey Kispert,1.9654614449475996,WAS
Cory Joseph,0.646972546189377,ORL
Craig Porter Jr.,0.352236672488397,CLE
Cui Yongxi,-0.0038949369130097987,BKN
