Rk,Player,Age,Pos,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,YR,TEAM
1,Trae Young,26,PG,55,36.3,7.3,18.1,0.406,2.9,8.9,0.331,4.4,9.2,0.478,0.487,6.2,7.3,0.858,0.5,2.6,3.1,11.4,1.2,0.2,4.9,2.1,23.9,,2025,ATL
2,Jalen Johnson,23,SF,36,35.7,7.5,15.1,0.5,1.2,3.9,0.312,6.3,11.1,0.566,0.541,2.6,3.5,0.746,1.7,8.3,10,5,1.6,1,2.9,1.9,18.9,,2025,ATL
3,Dyson Daniels,21,SG,54,34,5.9,12.3,0.477,1.1,3.3,0.337,4.7,9,0.528,0.522,1.2,1.9,0.615,1.7,3.9,5.6,4,3.1,0.8,1.9,2.5,14,,2025,ATL
4,De'Andre Hunter,27,SF,4,28.8,6.1,13.3,0.461,2.6,6.7,0.393,3.5,6.6,0.531,0.56,4.1,4.8,0.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19,,2025,ATL
5,Georges Niang,31,PF,1,27.9,5,11.1,0.449,3.1,7.3,0.431,1.9,3.9,0.481,0.59,0.9,1,0.857,0.7,4.1,4.9,1.9,0.7,0.6,0.7,3.1,14,,2025,ATL
6,Caris LeVert,30,SG,0,27.7,5.1,11,0.468,1.6,4.9,0.324,3.6,6.1,0.581,0.539,2.3,3.1,0.727,1,3.6,4.6,2,0.7,0.4,0.6,2.7,14.1,,2025,ATL
7,Onyeka Okongwu,24,C,18,25.9,4.9,8.6,0.567,0.5,1.6,0.282,4.4,7,0.634,0.594,2.1,2.9,0.725,2.8,5.2,8,2.2,0.8,0.9,1.1,2.4,12.3,,2025,ATL
8,Bogdan BogdanoviÄ,32,SG,0,24.9,3.5,9.3,0.371,1.8,6.1,0.301,1.6,3.3,0.5,0.469,1.3,1.4,0.882,0.5,2.3,2.8,2,0.8,0.3,1.5,2.4,10,,2025,ATL
9,Zaccharie Risacher,19,SF,50,24,4.2,9.9,0.427,1.4,4.2,0.333,2.8,5.8,0.495,0.497,1.5,2.1,0.721,1.3,2.3,3.5,1.3,0.8,0.5,1.1,1.9,11.4,,2025,ATL
10,Clint Capela,30,C,41,22.1,4.1,7.2,0.569,0,0,0,4.1,7.2,0.571,0.569,1,1.9,0.538,3.2,5.6,8.8,1.2,0.6,1,0.9,2,9.2,,2025,ATL
11,Terance Mann,28,SG,0,20.9,2.9,5,0.571,1.1,2.1,0.533,1.7,2.9,0.6,0.686,0.9,2,0.429,1.1,1.4,2.6,2.1,0.7,0,0.9,2.3,7.7,,2025,ATL
12,Vit Krejci,24,PG,15,20.8,2.5,5.5,0.447,1.4,3.7,0.384,1,1.8,0.58,0.577,0.5,0.8,0.667,0.4,2.4,2.7,2.7,0.7,0.5,0.9,1.9,6.9,,2025,ATL
13,Larry Nance Jr.,32,PF,3,19.3,3.3,6.5,0.516,1.4,3.2,0.447,1.9,3.3,0.582,0.626,0.4,0.5,0.692,1,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,,2025,ATL
14,Garrison Mathews,28,SG,2,17.7,2.1,5.5,0.39,1.8,4.7,0.385,0.3,0.8,0.417,0.553,1.5,1.8,0.829,0.3,1.5,1.8,1.3,0.6,0.3,0.7,1.7,7.5,,2025,ATL
15,Keaton Wallace,25,PG,3,17.3,2.2,5.1,0.423,1,2.7,0.354,1.2,2.4,0.5,0.516,0.5,0.5,1,0.2,1.3,1.5,2.3,0.9,0.3,1.2,1.3,5.8,,2025,ATL
16,Daeqwon Plowden,26,SG,0,16.5,4,5,0.8,3,4,0.75,1,1,1,1.1,1,1,1,1.5,1,2.5,0,0,0,0.5,2.5,12,,2025,ATL
17,Mouhamed Gueye,22,PF,8,14.7,2.3,5.8,0.406,0.5,2.8,0.176,1.8,2.9,0.629,0.449,0.6,0.8,0.778,0.8,2.5,3.3,0.7,0.8,0.8,0.5,1.3,5.8,,2025,ATL
18,David Roddy,23,PF,3,12.8,1.6,3.4,0.473,0.6,1.6,0.372,1,1.9,0.56,0.559,0.7,0.8,0.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.5,,2025,ATL
19,Kobe Bufkin,21,SG,0,12.4,1.8,4.7,0.383,0.4,1.9,0.211,1.4,2.8,0.5,0.426,1.3,1.8,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,,2025,ATL
20,Dominick Barlow,21,SF,2,8.1,1.3,2.7,0.478,0.3,0.8,0.385,1,1.9,0.515,0.533,0.2,0.5,0.5,0.5,1.2,1.6,0.2,0.2,0.4,0.1,0.7,3.1,,2025,ATL
,Team Totals,,,59,241.7,42.5,91.8,0.463,13.1,37.4,0.349,2493.9,5378.6,0.541,0.534,18.5,24.1,0.769,11.9,2636.1,44.9,29.3,10,5.1,15.9,18.9,116.6,,2025,ATL
1,Jayson Tatum,26,PF,56,36.4,9,19.9,0.453,3.6,10.1,0.355,5.4,9.8,0.554,0.543,5,6.3,0.801,0.6,8.1,8.7,5.8,1.1,0.5,2.8,2.1,26.6,,2025,BOS
2,Jaylen Brown,28,SF,49,35.1,8.6,18.4,0.464,1.9,6,0.317,6.7,12.4,0.534,0.516,3.9,5.2,0.756,1.4,4.6,6.1,4.7,1.2,0.3,2.7,2.5,22.9,,2025,BOS
3,Derrick White,30,SG,56,33.6,5.6,12.4,0.447,3.4,8.8,0.39,2.1,3.6,0.583,0.585,1.8,2.1,0.839,0.9,3.5,4.4,4.3,0.9,1.1,1.6,1.8,16.3,,2025,BOS
4,Jrue Holiday,34,PG,47,30.1,4,9.1,0.438,1.7,5,0.342,2.3,4,0.558,0.533,1.1,1.3,0.9,1.1,3.2,4.3,3.7,1,0.4,1.4,1.6,10.8,,2025,BOS
5,Kristaps PorziÅÄ£is,29,C,32,28.9,6.4,13.6,0.474,2.4,6,0.403,4,7.6,0.529,0.562,3.7,4.5,0.813,1.6,5.2,6.8,1.9,0.8,1.6,1.2,2.8,18.9,,2025,BOS
6,Payton Pritchard,27,PG,0,27.9,5,10.6,0.471,3.2,7.8,0.413,1.7,2.7,0.637,0.624,0.9,1.1,0.839,1.3,2.5,3.8,3.5,0.9,0.2,1,1.6,14.1,,2025,BOS
7,Al Horford,38,C,30,26.5,2.9,7.1,0.407,1.8,5,0.358,1.1,2.1,0.526,0.534,0.3,0.4,0.889,1.1,4.4,5.5,1.8,0.6,0.9,0.7,1.5,7.9,,2025,BOS
8,Sam Hauser,27,PF,10,20.2,2.7,6,0.447,2.1,5.1,0.405,0.6,0.9,0.698,0.62,0.1,0.1,1,0.6,2.4,3,1,0.6,0.2,0.4,1.2,7.5,,2025,BOS
9,Luke Kornet,29,C,7,17.2,2.1,3.2,0.661,0,0,0,2.1,3.2,0.665,0.661,0.9,1.2,0.762,2.4,2.7,5,1.6,0.5,0.9,0.4,1.5,5.2,,2025,BOS
10,Neemias Queta,25,C,5,14.1,2.1,3.2,0.655,0,0,0,2.1,3.2,0.664,0.655,0.8,1,0.729,1.3,2.2,3.6,0.6,0.3,0.7,0.6,1.8,5,,2025,BOS
11,Torrey Craig,34,SF,1,10.7,1.3,3,0.444,0.7,2.3,0.286,0.7,0.7,1,0.556,0,0,,1,0.7,1.7,0.7,0,1.3,0.3,0.7,3.3,,2025,BOS
12,Drew Peterson,25,PF,0,8.7,0.9,1.7,0.5,0.6,1.3,0.45,0.3,0.4,0.667,0.673,0.4,0.5,0.857,0.3,1.5,1.8,0.7,0.2,0.1,0.4,0.8,2.7,,2025,BOS
13,Jordan Walsh,20,PF,1,7.7,0.5,1.5,0.35,0.3,1,0.275,0.3,0.5,0.5,0.442,0.2,0.3,0.583,0.4,0.7,1.1,0.3,0.2,0.2,0.2,0.5,1.5,,2025,BOS
14,Xavier Tillman Sr.,26,C,1,7.1,0.4,1.5,0.238,0.1,0.9,0.167,0.2,0.6,0.333,0.286,0,0.1,0.5,0.3,1,1.4,0.3,0.3,0.2,0.4,0.5,0.9,,2025,BOS
15,Baylor Scheierman,24,SG,0,6,0.3,1.6,0.167,0.1,1,0.067,0.2,0.6,0.333,0.188,0.2,0.3,0.75,0.2,1.1,1.3,0.5,0.2,0,0.1,0.4,0.8,,2025,BOS
16,Jaden Springer,22,SG,0,5.4,0.5,1.3,0.353,0.2,0.7,0.316,0.2,0.6,0.4,0.441,0.6,0.8,0.714,0.2,0.8,0.9,0.4,0.5,0,0.2,0.7,1.7,,2025,BOS
17,JD Davison,22,PG,0,4.6,0.3,1,0.286,0.1,0.6,0.25,0.1,0.4,0.333,0.357,0.6,0.7,0.8,0,0.4,0.4,0.3,0.3,0,0.9,0.1,1.3,,2025,BOS
,Team Totals,,,59,242.1,41.6,90.3,0.461,17.8,48.4,0.369,2437.2,5281.6,0.566,0.559,15.8,19.9,0.796,10.8,2641.2,44.9,25.8,7.3,5.6,12,16.3,116.9,,2025,BOS
1,Zach LaVine,29,SF,42,34.1,8.6,16.9,0.511,3.2,7.3,0.446,5.4,9.6,0.56,0.607,3.5,4.3,0.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24,,2025,CHI
2,Coby White,24,SG,51,32.6,6.1,14.2,0.428,3,8.1,0.368,3.1,6.1,0.508,0.533,2.9,3.2,0.899,0.3,3,3.3,4.6,0.9,0.2,2.3,2.2,18,,2025,CHI
3,Nikola VuÄeviÄ,34,C,56,32.1,7.8,14.6,0.533,1.8,4.6,0.387,6,10.1,0.599,0.593,1.8,2.1,0.817,2.3,7.9,10.3,3.4,0.9,0.7,1.7,2.4,19.1,,2025,CHI
4,Ayo Dosunmu,25,SG,26,30.5,4.8,9.8,0.491,1.4,4.2,0.332,3.4,5.6,0.609,0.561,1.4,1.7,0.792,0.6,2.9,3.5,4.6,0.9,0.4,1.5,2.3,12.3,,2025,CHI
5,Josh Giddey,22,PG,55,29.1,4.8,10.5,0.459,1.5,3.9,0.381,3.3,6.6,0.505,0.53,1.9,2.4,0.78,1.7,5.7,7.5,6.5,1.1,0.6,2.8,1.7,13,,2025,CHI
6,Patrick Williams,23,PF,35,26.2,3.2,8.6,0.375,1.6,4.5,0.351,1.6,4.1,0.4,0.466,1.1,1.4,0.769,0.8,3.3,4,2,0.8,0.6,1.3,1.3,9.1,,2025,CHI
