Player,Predicted_3PA,TEAM
A.J. Lawson,4.222135188604109,TOR
AJ Green,5.006375527990189,MIL
AJ Johnson,1.8965569049911022,WAS
Aaron Gordon,3.239425262925344,DEN
Aaron Holiday,2.895394675381709,HOU
Aaron Nesmith,4.304662966943385,IND
Aaron Wiggins,4.371057571500306,OKC
Adam Flagler,1.5682549355408815,OKC
Adama Sanogo,0.15552239247933727,CHI
Adem Bona,0.030741400270122475,PHI
Ajay Mitchell,1.3875718776060595,OKC
Al Horford,5.046461545576027,BOS
Alec Burks,3.642958060445731,MIA
Alex Caruso,3.124356970352623,OKC
Alex Ducas,0.9720554570642155,OKC
Alex Len,0.10786421290415667,LAL
Alex Reese,2.7236804988859835,PHI
Alex Sarr,5.10437933743896,WAS
Alondes Williams,0.9672034082463102,DET
Alperen Sengun,1.190749882933862,HOU
Amen Thompson,1.1449103109390257,HOU
Amir Coffey,3.645376193550294,LAC
Andre Drummond,0.49563801924887235,PHI
Andre Jackson Jr.,1.2765284551402494,MIL
Andrew Nembhard,2.5909542692309855,IND
Andrew Wiggins,5.891835353767558,MIA
Anfernee Simons,8.252083820557248,POR
Anthony Black,2.226226835323459,ORL
Anthony Davis,2.212108227579716,DAL
Anthony Edwards,10.275396908959584,MIN
Anthony Gill,0.5206237166946515,WAS
Anton Watson,0.43201749830163444,NYK
Antonio Reeves,2.1647899179807113,NOP
Ariel Hukporti,0.02022163199299584,NYK
Armel Traoré,0.40779930810367704,LAL
Ausar Thompson,0.7678392651641375,DET
Austin Reaves,7.072666421498016,LAL
Ayo Dosunmu,3.978864878520431,CHI
Bam Adebayo,2.5947947809665237,MIA
Baylor Scheierman,1.746024168191681,BOS
Ben Sheppard,3.201015269732629,IND
Ben Simmons,0.1149533601001002,LAC
Bennedict Mathurin,4.1306754923002815,IND
Bilal Coulibaly,3.9332002871684075,WAS
Bismack Biyombo,0.048323200090457596,SAS
Blake Wesley,0.6727568058648189,SAS
Bobby Portis,3.603946796301706,MIL
Bobi Klintman,0.1018819491709443,DET
Bogdan Bogdanović,5.952910945745096,LAC
Bol Bol,2.6935149317509164,PHX
Bones Hyland,3.8597898772710297,MIN
Bradley Beal,4.826534757330915,PHX
Branden Carlson,1.8793275336118538,OKC
Brandin Podziemski,4.209455442053161,GSW
Brandon Boston,3.4479196846323337,NOP
Brandon Clarke,0.16849190752005566,MEM
Brandon Ingram,6.494145148078617,TOR
Brandon Miller,10.17864639654261,CHA
Brandon Williams,1.844169735114294,DAL
Brice Sensabaugh,4.708549559589567,UTA
Bronny James,1.162897095226615,LAL
Brook Lopez,4.86177147693839,MIL
Bruce Brown,1.9019875026101445,NOP
Bruno Fernando,0.09248555468136117,TOR
Bryce McGowens,0.28065867609489425,POR
Bub Carrington,4.834364389544034,WAS
Buddy Hield,6.804797126397836,GSW
CJ McCollum,8.114583875410359,NOP
Cade Cunningham,5.975020116672001,DET
Caleb Houstan,2.5123058975408945,ORL
Caleb Martin,2.4839399371825586,DAL
Cam Christie,1.4303604541183204,LAC
Cam Reddish,1.3892930989032335,LAL
Cam Spencer,2.115600758737088,MEM
Cam Thomas,7.714751976526635,BKN
Cam Whitmore,3.6993314374952333,HOU
Cameron Johnson,7.171843270153156,BKN
Cameron Payne,3.575181275671791,NYK
Caris LeVert,4.340177558073401,ATL
Cason Wallace,3.1610328879473895,OKC
Charles Bassey,0.031305880752426775,SAS
Chet Holmgren,3.504635346622411,OKC
Chris Boucher,3.839675531095954,TOR
Chris Duarte,1.031379405839763,CHI
Chris Livingston,0.18915707723975558,MIL
Chris Paul,4.6398929978577215,SAS
Christian Braun,2.8411126087045995,DEN
Christian Koloko,0.04356826680850408,LAL
Chuma Okeke,2.2455153194802837,PHI
Clint Capela,0.03420861938901256,ATL
Coby White,8.150812092021162,CHI
Cody Martin,3.1861261330517623,PHX
Cody Williams,2.5244316981356625,UTA
Colby Jones,0.6361395936107745,WAS
Cole Anthony,3.164158870383508,ORL
Cole Swider,1.2869705413862975,DET
Colin Castleton,0.5929369461566222,TOR
Collin Gillespie,1.3978870475715115,PHX
Collin Sexton,4.484314468532604,UTA
Corey Kispert,5.55012725761102,WAS
Cory Joseph,1.9356408056298424,ORL
Craig Porter Jr.,0.6589699859550585,CLE
Cui Yongxi,0.5904310385537733,BKN
D'Angelo Russell,6.377099747673061,BKN
D.J. Carton,0.6453064994637192,TOR
DaQuan Jeffries,3.3276833400396946,CHA
Daeqwon Plowden,5.666599763937711,ATL
Daishen Nix,0.10864411645790097,MIN
Dalano Banton,2.8239148825939724,POR
Dalen Terry,1.178055385547094,CHI
Dalton Knecht,4.608590280489124,LAL
Damian Lillard,8.997065666245293,MIL
Damion Baugh,4.134466952164651,CHA
Damion Lee,1.3167988757641091,PHX
Daniel Gafford,0.022893986570232554,DAL
Daniel Theis,0.810524680174473,NOP
Daniss Jenkins,0.49130496791706607,DET
Danté Exum,2.7426397842211947,DAL
Dario Šarić,1.8594124960974057,DEN
Dariq Whitehead,2.29434126268767,BKN
Darius Garland,7.06624600829714,CLE
David Duke Jr.,0.5759161299856642,SAS
David Roddy,1.804653002458526,HOU
Davion Mitchell,2.6059450569368283,MIA
Day'Ron Sharpe,0.7387179265098321,BKN
De'Aaron Fox,6.104850775091857,SAS
De'Andre Hunter,6.0502704872136155,CLE
De'Anthony Melton,5.983560109739934,BKN
DeAndre Jordan,0.019382654592364244,DEN
DeMar DeRozan,3.102065694416499,SAC
Dean Wade,3.7315964470110106,CLE
Deandre Ayton,0.9379421252540617,POR
Dejounte Murray,5.5886940313622935,NOP
Delon Wright,1.5219892340643941,NYK
Deni Avdija,4.4448999422531115,POR
Dennis Schröder,5.101696077096509,DET
Dereck Lively II,0.04787479090730602,DAL
Derrick Jones Jr.,2.7610475368358767,LAC
Derrick White,8.962341128615071,BOS
Desmond Bane,5.869879111550336,MEM
Devin Booker,7.719911813163951,PHX
Devin Carter,1.7087230723926827,SAC
Devin Vassell,6.525467515593595,SAS
Dillon Brooks,6.365998883822735,HOU
Dillon Jones,1.3283737930350328,OKC
Domantas Sabonis,2.350669860063329,SAC
Dominick Barlow,0.7211022799160112,ATL
Donovan Clingan,0.6660005551215129,POR
Donovan Mitchell,9.1158898909122,CLE
Donte DiVincenzo,7.019477558355155,MIN
Dorian Finney-Smith,4.802962295863642,LAL
Doug McDermott,2.1175766818431496,SAC
Draymond Green,3.7126073526689267,GSW
Drew Eubanks,0.19064374694796724,LAC
Drew Peterson,1.2675190637715132,BOS
Dru Smith,2.0713831159320706,MIA
Duncan Robinson,6.772322200195931,MIA
Duop Reath,2.17617639079459,POR
Dwight Powell,0.04630309359863886,DAL
Dyson Daniels,3.2119431380908248,ATL
E.J. Liddell,1.0776323404250556,CHI
Elfrid Payton,0.49236370899222165,NOP
Elijah Harkless,2.522653471415861,UTA
Emanuel Miller,0.03389638456796368,CHI
Emoni Bates,1.6033590638175075,CLE
Enrique Freeman,0.4904620165298488,IND
Eric Gordon,3.4285143755053706,PHI
Evan Mobley,2.9406522994143613,CLE
Franz Wagner,5.540495008830014,ORL
Fred VanVleet,7.645699467408798,HOU
GG Jackson,3.563650793586915,MEM
Gabe Vincent,4.008437131892159,LAL
Garrett Temple,0.822529539036934,TOR
Garrison Mathews,4.58796514888076,ATL
Gary Harris,2.2319542451897165,ORL
Gary Payton II,1.5679841594781798,GSW
Gary Trent Jr.,5.683945333244265,MIL
Georges Niang,5.057079119465797,ATL
Giannis Antetokounmpo,0.5039402246645611,MIL
Goga Bitadze,0.5182021985147572,ORL
Gradey Dick,5.970915159062421,TOR
Grant Williams,4.669663946297364,CHA
Grayson Allen,5.524692939201585,PHX
Guerschon Yabusele,3.882170289436233,PHI
Gui Santos,1.9066979491048652,GSW
Harrison Barnes,4.201045853285512,SAS
Harrison Ingram,0.39285672702886315,SAS
Haywood Highsmith,2.8455353699920356,MIA
Herbert Jones,3.58273338991867,NOP
Hunter Tyson,1.3312311284650695,DEN
Immanuel Quickley,6.754941770509397,TOR
Isaac Jones,0.30196347654017747,SAC
Isaac Okoro,2.7231222753992683,CLE
Isaiah Collier,1.9966552728862568,UTA
Isaiah Crawford,0.3377848462068895,SAC
Isaiah Hartenstein,0.06059908630454709,OKC
Isaiah Jackson,0.2281811901008942,IND
Isaiah Joe,6.325376507825175,OKC
Isaiah Stewart,0.6355305657594628,DET
Isaiah Wong,1.7895916413888895,CHA
Ivica Zubac,0.06607048582753576,LAC
JD Davison,0.6455335130900824,BOS
JT Thor,0.8716982001156934,WAS
Ja Morant,5.221676989712862,MEM
Ja'Kobe Walter,3.1934027754484777,TOR
Jabari Smith Jr.,4.842346995086928,HOU
Jabari Walker,1.2991622394827238,POR
Jack McVeigh,1.5121646342661994,HOU
Jackson Rowe,1.7972188148610737,GSW
Jacob Toppin,0.19581179883198704,ATL
Jaden Hardy,3.3552522526890165,DAL
Jaden Ivey,5.14876221912275,DET
Jaden McDaniels,3.8031920223562126,MIN
Jaden Springer,0.9260741344666419,UTA
Jae Crowder,1.5580574161865055,SAC
Jae'Sean Tate,0.9623216843831519,HOU
Jahlil Okafor,0.08871709456118844,IND
Jahmir Young,0.08871709456118844,CHI
Jaime Jaquez Jr.,1.70449512187678,MIA
Jake LaRavia,2.1125804814115914,SAC
Jakob Poeltl,0.08149640430681278,TOR
Jalen Bridges,0.8035096156818573,PHX
Jalen Brunson,6.031454537687132,NYK
Jalen Duren,0.04637049818852224,DET
Jalen Green,8.465096818918967,HOU
Jalen Hood-Schifino,3.2845466518071866,PHI
Jalen Johnson,3.770687663589251,ATL
Jalen McDaniels,0.054974413226790725,WAS
Jalen Pickett,1.7434814269781251,DEN
Jalen Smith,3.6123171256806534,CHI
Jalen Suggs,6.89055796929995,ORL
Jalen Williams,5.031078471919134,OKC
Jalen Wilson,4.3884814846864435,BKN
Jamal Cain,1.5940202104227807,NOP
Jamal Murray,6.140079234654957,DEN
Jamal Shead,2.6691427773381133,TOR
Jamaree Bouyea,0.16581356441723477,MIL
James Harden,8.61895592503893,LAC
James Johnson,0.2838979919930644,IND
James Wiseman,1.0058164901685382,IND
Jamison Battle,3.9306376918244594,TOR
Jarace Walker,2.1749884597084987,IND
Jared Butler,2.223637548782048,PHI
Jared McCain,5.768250205301428,PHI
Jared Rhoden,2.8060691204363173,TOR
Jaren Jackson Jr.,5.233943346867774,MEM
Jarred Vanderbilt,1.2328173303066905,LAL
Jarrett Allen,0.041097654976571536,CLE
Javonte Green,2.209885942423326,CLE
Jaxson Hayes,0.028302759552901655,LAL
Jay Huff,3.1389346077901257,MEM
Jaylen Brown,5.722258355595824,BOS
Jaylen Clark,1.5809933607185036,MIN
Jaylen Martin,1.1785733507640697,WAS
Jaylen Nowell,3.3970751517656725,NOP
Jaylen Wells,5.05751482925643,MEM
Jaylin Williams,3.333696098885436,OKC
Jaylon Tyson,0.8808329204629982,CLE
Jayson Tatum,9.707880831236144,BOS
Jazian Gortman,0.8289433965596678,DAL
Jeff Dowtin Jr.,1.4944747012300494,PHI
Jeff Green,2.0432485113548666,HOU
Jerami Grant,6.322700066179069,POR
Jeremiah Robinson-Earl,2.089711593069796,NOP
Jeremy Sochan,1.520539839473788,SAS
Jericho Sims,0.010598842250983447,MIL
Jesse Edwards,0.05575788882497344,MIN
Jett Howard,3.0380974893152244,ORL
Jevon Carter,2.2272543124705177,CHI
Jimmy Butler III,1.6491306819522897,GSW
Jock Landale,0.4728272553452021,HOU
Joe Ingles,0.9325233968738681,MIN
Joel Embiid,4.002794879256209,PHI
John Collins,3.75135053464919,UTA
John Konchar,1.4140357724951955,MEM
Johnny Davis,0.8196807901329205,WAS
Johnny Furphy,0.9807950277669275,IND
Johnny Juzang,4.687074187054615,UTA
Jonas Valančiūnas,0.41002632789329696,SAC
Jonathan Isaac,2.2478127079681958,ORL
Jonathan Kuminga,3.411742211641317,GSW
Jonathan Mogbo,1.0061350669639388,TOR
Jordan Clarkson,6.368111617037935,UTA
Jordan Goodwin,2.7989195641734117,LAL
Jordan Hawkins,5.7456615662010435,NOP
Jordan McLaughlin,0.9635660215988898,SAS
Jordan Miller,0.8938908376419306,LAC
Jordan Poole,9.130966409403236,WAS
Jordan Walsh,1.014613567238236,BOS
Jose Alvarado,5.268916817645133,NOP
Josh Christopher,0.37982112019390896,MIA
Josh Giddey,3.9783771435246633,CHI
Josh Green,3.6846138027696296,CHA
Josh Hart,3.2313456837347596,NYK
Josh Minott,0.7964638796008144,MIN
Josh Okogie,2.104144534834623,CHA
Josh Richardson,2.9400308183966004,MIA
Jrue Holiday,5.01769149786056,BOS
Julian Champagnie,5.895389450824275,SAS
Julian Phillips,1.8437161895553023,CHI
Julian Strawther,4.1670054192202794,DEN
Julius Randle,4.536551778494801,MIN
Justin Champagnie,2.972089984842409,WAS
Justin Edwards,4.214683165377655,PHI
Justin Minaya,0.00899832262046927,POR
Jusuf Nurkić,2.024531740879856,CHA
KJ Martin,1.2611486576501096,UTA
KJ Simpson,3.3654466011651767,CHA
Kai Jones,-0.014483315668147414,DAL
Karl-Anthony Towns,4.918492126218982,NYK
Karlo Matković,1.2458269047921235,NOP
Kawhi Leonard,5.118899847767595,LAC
Keaton Wallace,2.5183097865020003,ATL
Keegan Murray,6.006946667159512,SAC
Keion Brooks Jr.,0.22326050105996234,NOP
Kel'el Ware,1.8997487523303755,MIA
Keldon Johnson,3.586649749623281,SAS
Kelly Olynyk,1.8742735833372883,NOP
Kelly Oubre Jr.,4.093544158262509,PHI
Kenrich Williams,2.3378453416109712,OKC
Kentavious Caldwell-Pope,4.3056568950373455,ORL
Keon Ellis,3.9451934929611965,SAC
Keon Johnson,4.991190559886905,BKN
Keshad Johnson,0.3798803112870253,MIA
Kessler Edwards,1.5037907842375755,DAL
Kevin Durant,5.938861950320085,PHX
Kevin Huerter,5.466191644564679,CHI
Kevin Knox II,1.4926179638136174,GSW
Kevin Love,3.0655363537341858,MIA
Kevin Porter Jr.,2.3678885324055297,MIL
Kevon Looney,0.04464832822588219,GSW
Keyonte George,7.582788100828402,UTA
Khris Middleton,3.5398218477242454,WAS
Killian Hayes,3.414972265941174,BKN
Klay Thompson,7.617246761636501,DAL
Kobe Brown,0.5069256928467055,LAC
Kobe Bufkin,1.910405781786992,ATL
Kris Dunn,3.003176098511156,LAC
Kris Murray,1.6128306104910954,POR
Kristaps Porziņģis,5.862497400324928,BOS
Kyle Anderson,1.1574137113310732,MIA
Kyle Filipowski,2.54011513474761,UTA
Kyle Kuzma,4.91358408508992,MIL
Kyle Lowry,2.3973165941555488,PHI
Kylor Kelley,0.06635480978625868,DAL
Kyrie Irving,7.190680489227509,DAL
Kyshawn George,5.225817466717648,WAS
LaMelo Ball,11.035711804766217,CHA
Lamar Stevens,1.8080568897048008,MEM
Landry Shamet,2.1448727520894337,NYK
Larry Nance Jr.,3.1414029121788904,ATL
Lauri Markkanen,8.342502142438237,UTA
LeBron James,5.994933642355404,LAL
Leonard Miller,0.251817401275353,MIN
Lester Quinones,0.20640954731914798,NOP
Liam Robbins,0.1993584530187135,MIL
Lindy Waters III,3.586741321489786,DET
Lonnie Walker IV,4.526403692423058,PHI
Lonzo Ball,5.518810982783034,CHI
Luguentz Dort,5.834905865564329,OKC
Luka Dončić,9.579533624571091,LAL
Luka Garza,1.1008728536470964,MIN
Luke Kennard,4.4059180368334765,MEM
Luke Kornet,0.021053090162471123,BOS
Luke Travers,0.30737603031719,CLE
Mac McClung,0.5069397242081712,ORL
Malachi Flynn,1.2357637878980605,CHA
Malaki Branham,1.4986118926035201,SAS
Malcolm Brogdon,2.453123581227633,WAS
Malevy Leons,0.1089208213165484,OKC
Malik Beasley,9.206398560112701,DET
Malik Monk,6.665375106154398,SAC
MarJon Beauchamp,0.8192703157181279,NYK
Marcus Garrett,2.140374368473761,CHA
Marcus Sasser,2.4730848507667136,DET
Marcus Smart,4.206186431374542,WAS
Mark Williams,0.06119586185805708,CHA
Markelle Fultz,0.5454796429805332,SAC
Markieff Morris,2.5447982031448513,LAL
Marvin Bagley III,0.455561423357407,MEM
Mason Jones,0.724326502822757,SAC
Mason Plumlee,0.036330896668809086,PHX
Matas Buzelis,3.1395059842710693,CHI
Matisse Thybulle,1.7131971983921312,POR
Matt Ryan,0.984884408220322,NYK
Max Christie,4.020250671011887,DAL
Max Strus,6.0627362517604695,CLE
Maxi Kleber,1.4637798432928064,LAL
Maxwell Lewis,0.8044630361761514,BKN
Micah Potter,2.5512040706960173,UTA
Michael Porter Jr.,6.3269674246732555,DEN
Mikal Bridges,5.936420542160708,NYK
Mike Conley,4.579585018051677,MIN
Miles Bridges,7.01843858731392,CHA
Miles McBride,4.87677873331659,NYK
Miles Norris,0.03389638456796368,BOS
Mitchell Robinson,0.1368829675046078,NYK
Mo Bamba,1.7740732123421712,NOP
Monté Morris,1.8014909744546637,PHX
Moritz Wagner,2.515723191423306,ORL
Moses Brown,0.0940163168101758,DAL
Moses Moody,4.448833219206331,GSW
Mouhamed Gueye,2.7739294312442597,ATL
Moussa Diabaté,0.004110759861513558,CHA
Myles Turner,5.367423663821735,IND
N'Faly Dante,0.4918732692401428,HOU
Nae'Qwan Tomlin,0.26723074457188206,CLE
Naji Marshall,3.2077614969154906,DAL
Nate Williams,1.2648671760649988,HOU
Naz Reid,6.001616406077172,MIN
Neemias Queta,0.0227508821612498,BOS
Nic Claxton,0.20677565126601147,BKN
Nick Richards,0.02506898610491668,PHX
Nick Smith Jr.,4.92957466248047,CHA
Nickeil Alexander-Walker,4.371690503972246,MIN
Nicolas Batum,2.649513837296061,LAC
Nikola Jokić,4.615224942410153,DEN
Nikola Jović,4.608198217048757,MIA
Nikola Vučević,4.474784834686965,CHI
Noah Clowney,5.529345855941538,BKN
Norman Powell,7.870156174025815,LAC
OG Anunoby,6.146139304282613,NYK
Obi Toppin,3.707228626516293,IND
Ochai Agbaji,3.750480295038685,TOR
Olivier-Maxence Prosper,0.8525031717090535,DAL
Onyeka Okongwu,1.5664643905328945,ATL
Orlando Robinson,0.7881334324054815,TOR
Oscar Tshiebwe,0.06879444969923126,UTA
Oshae Brissett,3.4202486275886304,PHI
Oso Ighodaro,0.05987403255986103,PHX
Ousmane Dieng,1.8840358311801637,OKC
P.J. Tucker,0.03389638456796368,NYK
