Player,Predicted_3P%,TEAM
A.J. Lawson,0.35418694545903284,TOR
AJ Green,0.3915580568144163,MIL
AJ Johnson,0.3462501571779492,WAS
Aaron Gordon,0.38308970107342794,DEN
Aaron Holiday,0.38499542216464855,HOU
Aaron Nesmith,0.41522346631190893,IND
Aaron Wiggins,0.41420754709803737,OKC
Adam Flagler,0.1856164567448296,OKC
Adama Sanogo,6.218905472636816e-06,CHI
Adem Bona,0.05042425317280772,PHI
Ajay Mitchell,0.38135635770786896,OKC
Al Horford,0.3712582803743571,BOS
Alec Burks,0.3654368320072713,MIA
Alex Caruso,0.37189826424242234,OKC
Alex Ducas,0.5209987473768866,OKC
Alex Len,0.22275153198782266,LAL
Alex Reese,0.389513322416336,PHI
Alex Sarr,0.34692377228311727,WAS
Alondes Williams,0.9794950000000001,DET
Alperen Sengun,0.24074940202672515,HOU
Amen Thompson,0.24074940202672515,HOU
Amir Coffey,0.4106105844940393,LAC
Andre Drummond,0.23607340475618457,PHI
Andre Jackson Jr.,0.39454896839309356,MIL
Andrew Nembhard,0.3268853293177179,IND
Andrew Wiggins,0.3756161511249598,MIA
Anfernee Simons,0.3813141321747977,POR
Anthony Black,0.31521576508639443,ORL
Anthony Davis,0.3281467997249267,DAL
Anthony Edwards,0.3746988836958537,MIN
Anthony Gill,0.3682640630149258,WAS
Anton Watson,0.0001647903340440654,NYK
Antonio Reeves,0.3764135371014871,NOP
Ariel Hukporti,0.052282920877436884,NYK
Armel Traoré,0.0,LAL
Ausar Thompson,0.2528954070064096,DET
Austin Reaves,0.3830807171520024,LAL
Ayo Dosunmu,0.40103561684482414,CHI
Bam Adebayo,0.3244228857643916,MIA
Baylor Scheierman,0.34737717645033395,BOS
Ben Sheppard,0.36360705494639817,IND
Ben Simmons,0.08821397517146706,LAC
Bennedict Mathurin,0.3721681353003655,IND
Bilal Coulibaly,0.33335351015812714,WAS
Bismack Biyombo,0.00017836543485250385,SAS
Blake Wesley,0.25197958638719314,SAS
Bobby Portis,0.3778506025789964,MIL
Bobi Klintman,0.0,DET
Bogdan Bogdanović,0.3772144521680609,LAC
Bol Bol,0.3584233278867493,PHX
Bones Hyland,0.3622807460678651,MIN
Bradley Beal,0.4033170777438173,PHX
Branden Carlson,0.39780207812101415,OKC
Brandin Podziemski,0.3729395238375254,GSW
Brandon Boston,0.36869495090763155,NOP
Brandon Clarke,0.11476006121564193,MEM
Brandon Ingram,0.3848635941226403,TOR
Brandon Miller,0.3513883856673487,CHA
Brandon Williams,0.3594988113919878,DAL
Brice Sensabaugh,0.4070604880550642,UTA
Bronny James,0.2788584329201739,LAL
Brook Lopez,0.39244375144709737,MIL
Bruce Brown,0.3139098096178595,NOP
Bruno Fernando,0.00027778468432655126,TOR
Bryce McGowens,0.0,POR
Bub Carrington,0.35574440479158703,WAS
Buddy Hield,0.37629224243556336,GSW
CJ McCollum,0.3821457941586892,NOP
Cade Cunningham,0.38086198825117223,DET
Caleb Houstan,0.3561537244563579,ORL
Caleb Martin,0.353080079789401,DAL
Cam Christie,0.23856170332884588,LAC
Cam Reddish,0.29448509824120384,LAL
Cam Spencer,0.388412979317412,MEM
Cam Thomas,0.3819807257442237,BKN
Cam Whitmore,0.3578124378091645,HOU
Cameron Johnson,0.3956567188634201,BKN
Cameron Payne,0.36222750244527063,NYK
Caris LeVert,0.40394735805842935,ATL
Cason Wallace,0.38485480964362895,OKC
Charles Bassey,0.03912578124372568,SAS
Chet Holmgren,0.37039942536847936,OKC
Chris Boucher,0.3839429767604725,TOR
Chris Duarte,0.39917933711387393,CHI
Chris Livingston,0.0,MIL
Chris Paul,0.39048021048880394,SAS
Christian Braun,0.3757970602577388,DEN
Christian Koloko,0.2795808412786532,LAL
Chuma Okeke,0.4620171789372797,PHI
Clint Capela,0.027772041328484442,ATL
Coby White,0.3844853267417286,CHI
Cody Martin,0.34256898133579894,PHX
Cody Williams,0.2895481482737479,UTA
Colby Jones,0.4808582649854219,WAS
Cole Anthony,0.36152290415478133,ORL
Cole Swider,0.0,DET
Colin Castleton,0.2357459621141966,TOR
Collin Gillespie,0.35585342361886824,PHX
Collin Sexton,0.3968273580422364,UTA
Corey Kispert,0.39226617773611294,WAS
Cory Joseph,0.3654163823761349,ORL
Craig Porter Jr.,0.3603642106098947,CLE
Cui Yongxi,0.0,BKN
D'Angelo Russell,0.3527123879928288,BKN
D.J. Carton,0.0,TOR
DaQuan Jeffries,0.34345588033645447,CHA
Daeqwon Plowden,0.46766257460229704,ATL
Daishen Nix,0.0,MIN
Dalano Banton,0.35671822103164014,POR
Dalen Terry,0.3415748392177076,CHI
Dalton Knecht,0.4052808470688344,LAL
Damian Lillard,0.3835242383210102,MIL
Damion Baugh,0.27916770126028484,CHA
Damion Lee,0.19895557402235592,PHX
Daniel Gafford,0.0489363103109927,DAL
Daniel Theis,0.20257116561709584,NOP
Daniss Jenkins,0.0,DET
Danté Exum,0.4147185816953302,DAL
Dario Šarić,0.3005644123760024,DEN
Dariq Whitehead,0.4399694538321038,BKN
Darius Garland,0.4007317779916697,CLE
David Duke Jr.,0.0,SAS
David Roddy,0.34629234305166645,HOU
Davion Mitchell,0.3826121327187263,MIA
Day'Ron Sharpe,0.23719283807672156,BKN
De'Aaron Fox,0.37389943611032805,SAS
De'Andre Hunter,0.3958978862470286,CLE
De'Anthony Melton,0.36593177639817265,BKN
DeAndre Jordan,0.05468814284005,DEN
DeMar DeRozan,0.3693359330727278,SAC
Dean Wade,0.36337439733620536,CLE
Deandre Ayton,0.251107996865276,POR
Dejounte Murray,0.3349337683079092,NOP
Delon Wright,0.26026247022160864,NYK
Deni Avdija,0.3658838170802136,POR
Dennis Schröder,0.36205472670337974,DET
Dereck Lively II,0.1382207449979619,DAL
Derrick Jones Jr.,0.3774935949790434,LAC
Derrick White,0.3839520048375691,BOS
Desmond Bane,0.3927764315877095,MEM
Devin Booker,0.39002930800303587,PHX
Devin Carter,0.2991730080176908,SAC
Devin Vassell,0.3831195445005628,SAS
Dillon Brooks,0.38057132526167264,HOU
Dillon Jones,0.2393930598466816,OKC
Domantas Sabonis,0.388469384191418,SAC
Dominick Barlow,0.24045923560974536,ATL
Donovan Clingan,0.32196971380806966,POR
Donovan Mitchell,0.3783477081348648,CLE
Donte DiVincenzo,0.3770368174090266,MIN
Dorian Finney-Smith,0.39415916664251094,LAL
